video_id,title,description,channel_title,channel_id,published_at,thumbnail_url,view_count,like_count,months_since_publish,estimated_views_per_month,tracked_views_growth_per_month
oOTRqoUZsWM,USAF/Northrop Grumman: Lean-Agile Mindset & DevSecOps in a Multi-billion Dollar Defense System,"How do you achieve unprecedented communication between contractor, government, and stakeholders in a large acquisition?

Northrop Grumman and US Air Force agile transformation leads will describe how they have worked together to leverage SAFe and DevSecOps to scale agile practices to refine requirements, enable customer and stakeholder collaboration, and facilitate technical planning for the Ground Based Strategic Deterrent (GBSD) intercontinental ballistic missile (ICBM) modernization program. The development occurs under a multi-billion dollar contract involving hundreds of companies and over 10,000 people across the US.

GBSD’s 50-year mission is vital to our nation’s security and adoption of a Lean-Agile mindset is essential to meeting GBSD’s schedule and capability requirements.

Presented at the 2021 Global SAFe Summit, October 2021 by:
David Gellen, Agile Transformation Lead for GBSD /Northrop Grumman
Micheal Burkhart, Lead for Agile Transformation of the Ground-Based Strategic Deterrent program /U.S. Air Force","Scaled Agile, Inc.",UC-n4Mb-Bu5Pgl0z5L1jyhSQ,2021-11-02 00:00:00+00:00,https://i.ytimg.com/vi/oOTRqoUZsWM/maxresdefault.jpg,3559,0,54.6694045174538,65.1,
y6ZSgiBHLXc,What is DevOps? What is DevSecOps? - live streamed 20-Nov,"#demodays #GitHub

1:20 - Welcome everyone!
11:39 - Let's talk DevOps and DevSecOps

DevSecOps, shifting left, and GitOps: you’ve probably heard all of these terms recently, but you might not be sure about what they mean. The reality is that these practices share a lot of the same principles—to reduce the time developers need to spend on security, while achieving better outcomes. And who doesn’t want that? Let’s clear up some confusion and deconstruct what these terms mean, and how they apply to your security and development teams.

Thomas Hughes, Senior DevOps Engineer, talks through key DevOps concepts and how it isn't just about tooling.

Resources:
Resource Round-up: https://github.com/learn/devops/#resources
Myths and Misconceptions: https://github.blog/2020-10-07-devops-definition/
Guide to DevSecOps: https://github.blog/2020-08-13-secure-at-every-step-a-guide-to-devsecops-shifting-left-and-gitops/

Contact us: https://enterprise.github.com/contact",GitHub,UC7c3Kb6jYCRj4JOHHZTxKsQ,2020-11-20 00:00:00+00:00,https://i.ytimg.com/vi/y6ZSgiBHLXc/maxresdefault.jpg,3462,65,66.06981519507187,52.4,
PZ4anzh8tZI,🚨 How difficult is it to put threat models into practice? | @Akeyless,"📣 How has threat modeling evolved and how can security help make it easier for developers to implement that practically into their code?

🔴 In this talk hosted by @Akeyless, Maran Gunasekaran, Principal Security Consultant at Practical DevSecOps gives us a rundown of what threat modeling used to mean and how developers can translate threat models into actual threat modeling as code. 

📊 He also offers real-world examples of how security and developers align on threat modeling when shipping code.

✅ Watch the full podcast here: https://www.youtube.com/watch?v=cZPnFwANlCY

🛑 If you liked this video and want to see more from Practical DevSecOps, subscribe to our channel: https://www.youtube.com/c/PracticalDevSecOps

🤔 To learn more, visit our website and explore our courses: https://www.practical-devsecops.com/courses-and-certifications-2/ 

📌About Practical DevSecOps:
Practical DevSecOps ​(a Hysn Technologies Inc company) offers vendor-neutral, practical, and hands-on DevSecOps training and certification programs for IT Professionals. Our online training and certifications are focused on modern areas of information security, including DevOps Security, Cloud-Native Security, Cloud Security & Container security. The certifications are achieved after rigorous tests(12-24 hour exams) of skill and are considered the most valuable in the information security field.
 
For more information, visit: www.practical-devsecops.com or follow us on social media: 
👉🏻 Twitter: @PDevsecops 
👉🏻 LinkedIn: https://www.linkedin.com/company/14504770/
👉🏻 Facebook: https://www.facebook.com/pdevsecops",Practical DevSecOps,UCsmwhUbG2kR8ruSh0ijRE8w,2022-09-21 00:00:00+00:00,https://i.ytimg.com/vi/PZ4anzh8tZI/maxresdefault.jpg,3207,10,44.05749486652977,72.79,
1uwusqnt1kk,📣 Evolution of Threat Modeling | Shift from DevOps to DevSecOps | @Akeyless,"📣 How has threat modeling evolved and how can security help make it easier for developers to implement that practically into their code?

🔴 In this talk hosted by @Akeyless, Maran Gunasekaran, Principal Security Consultant at Practical DevSecOps gives us a rundown of what threat modeling used to mean and how developers can translate threat models into actual threat modeling as code. 

📊 He also offers real-world examples of how security and developers align on threat modeling when shipping code.

✅ Watch the full podcast here: https://www.youtube.com/watch?v=cZPnFwANlCY

🛑 If you liked this video and want to see more from Practical DevSecOps, subscribe to our channel: https://www.youtube.com/c/PracticalDevSecOps

🤔 To learn more, visit our website and explore our courses: https://www.practical-devsecops.com/courses-and-certifications-2/ 

📌About Practical DevSecOps:
Practical DevSecOps ​(a Hysn Technologies Inc company) offers vendor-neutral, practical, and hands-on DevSecOps training and certification programs for IT Professionals. Our online training and certifications are focused on modern areas of information security, including DevOps Security, Cloud-Native Security, Cloud Security & Container security. The certifications are achieved after rigorous tests(12-24 hour exams) of skill and are considered the most valuable in the information security field.
 
For more information, visit: www.practical-devsecops.com or follow us on social media: 
👉🏻 Twitter: @PDevsecops 
👉🏻 LinkedIn: https://www.linkedin.com/company/14504770/
👉🏻 Facebook: https://www.facebook.com/pdevsecops",Practical DevSecOps,UCsmwhUbG2kR8ruSh0ijRE8w,2022-09-19 00:00:00+00:00,https://i.ytimg.com/vi/1uwusqnt1kk/maxresdefault.jpg,2403,20,44.12320328542094,54.46,0.0
S5YK0IHUtZo,🔴 What is Threat Modeling? | Threat Modeling With Code | #DevSecOps LIVE 📌,"In this DevSecOps Live event, we explore the advantages and limitations of ""Threat Modeling As Code"" and how it has been expressed as Threat Modeling From/In/With Code - focusing on a Threat Modeling With Code tool, pyTM.

📚 The talk covers:
✅ New approaches to Threat Modeling
✅ Learning to Threat Model with code
✅ Advantages of writing Threat Model with code

Link to the full DevSecOps LIVE: https://www.youtube.com/watch?v=b5460qWCPqg 

🎤 Speakers: Izar Tarandach

About Practical DevSecOps
Practical DevSecOps offers vendor-neutral, practical, and hands-on DevSecOps training and certification programs for IT Professionals. Our online training and certifications are focused on modern areas of information security, including DevOps Security, Cloud-Native Security, Cloud Security & Container security. The certifications are achieved after rigorous tests(12-24 hour exams) of skill and are considered the most valuable in the information security field.

00:00 What is Threat Modeling?
1:35 Artifacts to Threat Modeling
2:44 Key Takeaways",Practical DevSecOps,UCsmwhUbG2kR8ruSh0ijRE8w,2022-06-29 00:00:00+00:00,https://i.ytimg.com/vi/S5YK0IHUtZo/maxresdefault.jpg,1756,26,46.81724845995893,37.51,
JBbVTmrZ45E,Kubernetes Exposed! Seven of Nine Hidden Secrets That Will Give You... Ian Coldwater & Brad Geesaman,"Don’t miss out! Join us at our next event: KubeCon + CloudNativeCon Europe 2022 in Valencia, Spain from May 17-20. Learn more at https://kubecon.io The conference features presentations from developers and end users of Kubernetes, Prometheus, Envoy, and all of the other CNCF-hosted projects.

Kubernetes Exposed! Seven of Nine Hidden Secrets That Will Give You Pause - Ian Coldwater, Twilio & Brad Geesaman, Aqua Security

Think you know Kubernetes? Think again. Kubernetes is full of uncommon knowledge and doesn’t always behave the way we assume, containing unexpected gotchas and surprising behaviors that’ll make you say, “how come nobody told me this earlier?” In this talk, Ian Coldwater and Brad Geesaman will shine a light on hidden secrets in Kubernetes, demonstrating scary science such as pods in non-existent namespaces, bypassing network policies via DNS, fun with capable sidecar containers, and one weird trick attackers don’t want you to know. Defenders hate it! Don’t build your next threat model before watching this! Attendees will learn how not to get caught off guard by learning what to watch out for and how to better secure their systems. You won’t believe what happens next.",CNCF [Cloud Native Computing Foundation],UCvqbFHwN-nwalWPjPUKpvTA,2021-10-29 00:00:00+00:00,https://i.ytimg.com/vi/JBbVTmrZ45E/maxresdefault.jpg,1719,46,54.80082135523614,31.37,
2gGbJa_pGbM,WEBINAR: Key criteria for evaluating DevSecOps tools,"Join Pluralsight’s Developer Evangelist Jeremy Morgan and Gigaom’s Jon Collins as they discuss the key criteria for evaluating DevSecOps tools. They’ll discuss DevSecOps from a practical perspective, new findings about DevSecOps and how DevSecOps tooling delivers value by building on software and architecture vulnerability scanning, application and infrastructure hardening and other well-established areas of IT security. 

They’ll also discuss what decision makers should look for as they address the need to protect applications, data, services and more— without losing their ability to remain innovative and produce new software solutions.

Visit us at:
Facebook: https://www.facebook.com/pluralsight
Twitter: https://twitter.com/pluralsight
LinkedIn: https://www.linkedin.com/company/pluralsight
Instagram: http://instagram.com/pluralsight
Blog: https://www.pluralsight.com/blog",Pluralsight,UCbrXRQHV4TOU4Pqzw325Z1A,2021-11-03 00:00:00+00:00,https://i.ytimg.com/vi/2gGbJa_pGbM/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-BIAC6AKKAgwIABABGEUgPSh_MA8=&rs=AOn4CLAb49dxw18s5YX8dIDTSJ-0YAYTeA,1150,0,54.63655030800821,21.05,
7Sbqe6aoWYM,Quick Look: What Could Possibly Go Wrong? Plain Language Threat Modeling in DevSecOps,"Presenter: Alyssa Miller, Business Information Security Officer (BISO), S&P Global Ratings

This Quick Look provides a short preview of the full session at RSA Conference 2022, taking place from June 6-9, 2022. In this session, a co-author of the Threat Modeling Manifesto will show how capturing threat information in plain-language in the user-story breaks through roadblocks. A flow that removes security gates and integrates threat information in all phases of the lifecycle will be presented. Stop trying to predict attacker behaviors and instead focus on identifying critical assets and defenses.

https://www.rsaconference.com/USA/agenda/session/What%20Could%20Possibly%20Go%20Wrong%20Plain%20Language%20Threat%20Modeling%20in%20DevSecOps",RSAC Cybersecurity,UCYzwGkfOqrevO-4TuTjPLwQ,2022-04-08 00:00:00+00:00,https://i.ytimg.com/vi/7Sbqe6aoWYM/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-BIAC6AKKAgwIABABGH8gJCgxMA8=&rs=AOn4CLAFGH4q6U1g71W-xLmlnHx7818QtA,610,14,49.51129363449692,12.32,
FzoQcUCVvuM,Applying DevSecOps to Kubernetes,"Security is a vital part of any development pipeline, but as we move towards dynamic Cloud DevOps, it’s becoming left behind. With Kubernetes having worrying security flaws, we talked to Thomas Fricke to learn more about how to keep our DevOps setup secure.",Platform Engineering,UCKjVI0LawDxHaXSBMBOK1tA,2022-01-26 00:00:00+00:00,https://i.ytimg.com/vi/FzoQcUCVvuM/sddefault.jpg,450,8,51.87679671457906,8.67,
lwWR9QqrEnc,DevOps: The Future of Change Management | BCS Edinburgh branch,"DevOps has transformed the way we deliver software to our customers. But for teams in regulated industries, manual change management processes still put a delay on releases.
For these teams, automating change management as part of the DevOps process is the next frontier. This talk will show how and why to automate change controls and release documentation with security and traceability built in.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,2021-03-23 00:00:00+00:00,https://i.ytimg.com/vi/lwWR9QqrEnc/maxresdefault.jpg,221,8,62.02874743326489,3.56,
